unique(Master_Bacteria_Raw$species);Total_Aquatic;Aquatic_Waste_Water;Aquatic_River;Aquatic_Marine;Aquatic_Sea;Aquatic_Sediment;Aquatic_Lake;Aquatic_Ocean;Aquatic_Reservoir;Aquatic_Estuary;Aquatic_Groundwater;Aquatic_Ice;Aquatic_Brine;Aquatic_Unknown;Total_Soil;Soil_Farm;Soil_Field;Soil_Forest;Soil_Agricultural;Soil_Peatland;Soil_Paddy;Soil_Desert;Soil_Tundra;Soil_Unknown;Total_Animal;Animal_Human;Animal_Mouse;Animal_Rat;Animal_Pig;Animal_Dog;Animal_Bird;Animal_Cattle;Animal_Sheep;Animal_Cat;Animal_Goat;Animal_Macaque;Animal_Fish;Animal_Horse;Animal_Fly;Animal_Mosquito;Animal_Termite;Animal_Bee;Animal_Tick;Animal_Baboon;Animal_Bat;Animal_Hamster;Animal_Chimpanzee;Animal_Whale;Animal_Bumblebee;Animal_Roe;Animal_Gorilla;Animal_Tadpole;Animal_Swallow;Animal_Sparrow;Animal_Shark;Animal_Seagull;Animal_Pigeon;Animal_Unknown;Total_Plant;Plant_Rhizosphere;Plant_Leaf;Plant_Stem;Plant_Wood;Plant_Seed;Plant_Flower;Plant_Sprout;Plant_Unknown;Total_Unknown;Unknown_Unknown;MA_Status;Soil_Shrub;Animal_Dolphin;Animal_Fruitfly;Animal_Stork;Animal_Eagle
Lactobacillus taiwanensis;2.32;0.68;0.11;0.14;0.13;0.18;0.17;0.04;0.03;0.01;0.03;0.01;0.01;0.77;1.96;0.35;0.14;0.1;0.06;0.04;0.05;0.05;0.0;1.17;71.0;16.5;15.1;2.33;6.21;1.06;3.02;0.57;0.06;0.24;0.08;0.71;0.22;0.05;0.02;0.02;0.02;0.11;0.03;0.17;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;24.4;0.63;0.09;0.06;0.03;0.05;0.01;0.01;0.0;0.37;24.1;24.1;Found;0.0;0.0;0.0;0.0;0.0
Lactobacillus paragasseri;2.32;0.68;0.11;0.14;0.13;0.18;0.17;0.04;0.03;0.01;0.03;0.01;0.01;0.77;1.96;0.35;0.14;0.1;0.06;0.04;0.05;0.05;0.0;1.17;71.0;16.5;15.1;2.33;6.21;1.06;3.02;0.57;0.06;0.24;0.08;0.71;0.22;0.05;0.02;0.02;0.02;0.11;0.03;0.17;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;24.4;0.63;0.09;0.06;0.03;0.05;0.01;0.01;0.0;0.37;24.1;24.1;Found;0.0;0.0;0.0;0.0;0.0
Lactobacillus johnsonii;2.32;0.68;0.11;0.14;0.13;0.18;0.17;0.04;0.03;0.01;0.03;0.01;0.01;0.77;1.96;0.35;0.14;0.1;0.06;0.04;0.05;0.05;0.0;1.17;71.0;16.5;15.1;2.33;6.21;1.06;3.02;0.57;0.06;0.24;0.08;0.71;0.22;0.05;0.02;0.02;0.02;0.11;0.03;0.17;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;24.4;0.63;0.09;0.06;0.03;0.05;0.01;0.01;0.0;0.37;24.1;24.1;Found;0.0;0.0;0.0;0.0;0.0
Dialister invisus;3.8;2.09;0.23;0.14;0.1;0.11;0.06;0.03;0.01;0.02;0.02;0.03;0.01;0.94;0.82;0.14;0.08;0.05;0.05;0.0;0.01;0.0;0.01;0.48;69.5;44.4;1.08;0.2;0.26;0.13;0.13;0.22;0.03;0.04;0.02;0.16;0.06;0.04;0.03;0.04;0.01;0.02;0.01;0.04;0.0;0.0;0.01;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.5;0.28;0.04;0.04;0.04;0.0;0.01;0.0;0.0;0.14;25.6;25.6;Found;0.0;0.0;0.0;0.0;0.0
Bacteroides eggerthii;4.35;1.82;0.42;0.25;0.09;0.15;0.23;0.04;0.05;0.04;0.03;0.01;0.01;1.21;1.16;0.16;0.13;0.09;0.06;0.08;0.01;0.02;0.01;0.59;76.9;40.9;2.36;1.66;2.54;1.37;0.5;0.8;0.08;0.06;0.08;0.06;0.04;0.04;0.06;0.01;0.01;0.02;0.01;0.02;0.0;0.0;0.01;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;26.3;0.34;0.04;0.05;0.01;0.01;0.01;0.0;0.0;0.21;17.2;17.2;Found;0.0;0.0;0.0;0.0;0.0
Bacteroides acidifaciens;0.79;0.25;0.05;0.1;0.03;0.03;0.02;0.03;0.0;0.01;0.0;0.0;0.0;0.27;0.61;0.06;0.05;0.01;0.01;0.03;0.0;0.02;0.0;0.43;85.3;32.4;19.2;1.7;0.41;0.96;0.42;0.32;0.07;0.03;0.04;0.04;0.04;0.02;0.01;0.02;0.0;0.01;0.01;0.01;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.5;0.24;0.03;0.03;0.05;0.02;0.0;0.01;0.0;0.09;13.1;13.1;Found;0.0;0.0;0.0;0.0;0.0
Phocaeicola coprocola;5.49;1.98;0.7;0.29;0.19;0.19;0.21;0.08;0.07;0.07;0.04;0.01;0.01;1.65;1.3;0.18;0.14;0.05;0.04;0.0;0.03;0.01;0.0;0.86;75.2;38.7;2.0;0.43;0.85;3.76;1.05;1.18;0.11;0.47;0.13;0.03;0.08;0.04;0.06;0.02;0.01;0.02;0.01;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.2;0.43;0.06;0.05;0.01;0.0;0.04;0.0;0.0;0.26;17.6;17.6;Found;0.0;0.0;0.0;0.0;0.0
Enhydrobacter aerosaccus;20.7;5.03;3.28;0.27;0.4;1.27;1.78;0.1;0.22;0.13;0.44;0.07;0.0;7.73;22.0;0.54;1.95;1.75;1.46;0.17;0.35;0.08;0.18;15.4;7.22;1.57;0.36;0.07;0.22;0.05;0.29;0.16;0.03;0.01;0.02;0.0;0.61;0.02;0.02;0.26;0.03;0.01;0.04;0.0;0.01;0.0;0.0;0.0;0.04;0.0;0.0;0.02;0.04;0.0;0.0;0.0;0.0;3.33;4.75;1.7;0.17;0.03;0.13;0.04;0.02;0.0;2.66;45.3;45.3;Found;0.07;0.0;0.0;0.0;0.0
Moraxella osloensis;14.1;2.53;1.46;1.14;0.95;0.79;1.38;0.27;0.16;0.08;0.19;0.08;0.03;5.03;5.72;0.83;0.56;0.56;0.15;0.08;0.11;0.13;0.03;3.26;38.6;18.8;1.52;0.24;0.99;0.48;1.18;0.96;0.15;0.21;0.08;0.11;0.87;0.1;0.09;0.38;0.02;0.15;0.21;0.02;0.06;0.0;0.0;0.01;0.07;0.0;0.01;0.03;0.08;0.01;0.04;0.0;0.0;11.7;2.54;0.35;0.42;0.12;0.1;0.16;0.09;0.01;1.29;39.1;39.1;Found;0.01;0.0;0.0;0.0;0.0
Granulicatella adiacens;2.24;0.52;0.13;0.16;0.14;0.15;0.13;0.03;0.02;0.01;0.03;0.05;0.03;0.85;1.28;0.31;0.08;0.19;0.05;0.01;0.02;0.04;0.0;0.58;63.2;39.8;0.81;0.24;0.45;0.29;0.31;0.22;0.04;0.03;0.02;0.07;0.28;0.03;0.03;0.14;0.02;0.04;0.06;0.06;0.05;0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;20.1;0.62;0.08;0.06;0.13;0.01;0.04;0.02;0.0;0.28;32.7;32.7;Found;0.0;0.0;0.0;0.0;0.0
