unique(Master_Bacteria_Raw$species);Total_Aquatic;Aquatic_Waste_Water;Aquatic_River;Aquatic_Marine;Aquatic_Sea;Aquatic_Sediment;Aquatic_Lake;Aquatic_Ocean;Aquatic_Reservoir;Aquatic_Estuary;Aquatic_Groundwater;Aquatic_Ice;Aquatic_Brine;Aquatic_Unknown;Total_Soil;Soil_Farm;Soil_Field;Soil_Forest;Soil_Agricultural;Soil_Peatland;Soil_Paddy;Soil_Desert;Soil_Tundra;Soil_Unknown;Total_Animal;Animal_Human;Animal_Mouse;Animal_Rat;Animal_Pig;Animal_Dog;Animal_Bird;Animal_Cattle;Animal_Sheep;Animal_Cat;Animal_Goat;Animal_Macaque;Animal_Fish;Animal_Horse;Animal_Fly;Animal_Mosquito;Animal_Termite;Animal_Bee;Animal_Tick;Animal_Baboon;Animal_Bat;Animal_Hamster;Animal_Chimpanzee;Animal_Whale;Animal_Bumblebee;Animal_Roe;Animal_Gorilla;Animal_Tadpole;Animal_Swallow;Animal_Sparrow;Animal_Shark;Animal_Seagull;Animal_Pigeon;Animal_Unknown;Total_Plant;Plant_Rhizosphere;Plant_Leaf;Plant_Stem;Plant_Wood;Plant_Seed;Plant_Flower;Plant_Sprout;Plant_Unknown;Total_Unknown;Unknown_Unknown;MA_Status;Soil_Shrub;Animal_Dolphin;Animal_Fruitfly;Animal_Stork;Animal_Eagle
Alkalihalobacillus sp. MEB203;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Catenovulum sp. 2E275;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Variovorax sp. N23;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Streptomyces sp. HUAS 13-4;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Streptomyces sp. HUAS 15-9;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Chitiniphilus sp. CD1;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Crossiella sp. CA-258035;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Aedoeadaptatus acetigenes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Brotonthovivens ammoniilytica;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Anthropogastromicrobium aceti;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Robbsia betulipollinis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Paenibacillus sp. WQ 127069;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Paraflavisolibacter caeni;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Xanthomonas sp. AM6;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Polynucleobacter sp. KF022;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Halomonas sp. GD1P12;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Halomonas sp. LR3S48;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Bifidobacterium sp. ESL0775;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Pseudomonas sp. SO81;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Actinoplanes sp. KI2;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Rhabdaerophilum sp. SD176;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Tahibacter soli;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Hoeflea sp. G2-23;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Hoeflea sp. J2-29;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Flavobacterium sp. SH_e;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Ruegeria sp. WL0004;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Defluviimonas sp. WL0002;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Vogesella sp. LYT5W;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Vogesella sp. DC21W;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Asticcacaulis currens;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Asticcacaulis machinosus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Defluviimonas sp. WL0075;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Ruegeria sp. XHP0148;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Streptomyces beihaiensis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Pelagibacterium sp. YIM 151497;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Geodermatophilus sp. YIM 151500;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Erythrobacter sp. WG;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Niveibacterium sp. 24ML;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mesorhizobium sp. ZC-5;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Limnohabitans sp. INBF002;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Limnohabitans sp. TEGF004;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Roseomonas sp. SXEYE001;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
